timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784784071379,2712,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-3,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,617,0,299
1784784071379,617,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-3,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,617,0,299
1784784071996,2095,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-3,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1740,0,1051
1784784071578,2525,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-4,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,599,0,304
1784784071578,599,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-4,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,599,0,304
1784784072178,1925,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-4,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1577,0,869
1784784071071,3036,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-1,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,905,0,582
1784784071071,910,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-1,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,905,0,582
1784784071984,2123,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-1,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1771,0,1063
1784784071777,2330,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-5,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,591,0,309
1784784071777,591,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-5,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,591,0,309
1784784072368,1739,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-5,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1389,0,679
1784784071977,2412,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,613,0,289
1784784071977,613,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-6,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,613,0,289
1784784072590,1799,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-6,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1458,0,694
1784784071180,3259,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,797,0,478
1784784071180,802,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-2,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,797,0,478
1784784071984,2455,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-2,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,2038,0,1063
1784784072576,2159,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-9,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,669,0,346
1784784072576,669,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-9,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,669,0,346
1784784073246,1489,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-9,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1144,0,832
1784784072177,2579,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,590,0,295
1784784072177,590,HTTP Request easycal-0,301,Moved Permanently,NON GUI TestCases using csv fies 1-7,text,true,,375,134,10,10,http://easycalculation.com/faq/index.php,590,0,295
1784784072768,1988,HTTP Request easycal-1,200,OK,NON GUI TestCases using csv fies 1-7,text,true,,58595,138,10,10,https://www.easycalculation.com/faq/index.php,1622,0,970
1784784072377,2382,HTTP Request easycal,200,OK,NON GUI TestCases using csv fies 1-8,text,true,,58970,272,10,10,https://www.easycalculation.com/faq/index.php,580,0,282
